annotator	jlpt_level	age	education_years	native_languages	nonnative_languages	weekly_reading_hours	has_studied_japanese_at_university	lives_in_japan	lived_in_japan_years
replication_lcp_annotator_1	N1	30	21	中国語	2	20.0	False	True	4.0
replication_lcp_annotator_2	N1	26	16	Chinese	2	0.5	False	True	2.5
replication_lcp_annotator_3	N1	31	20	Chinese	2	0.5	False	True	7.0
replication_lcp_annotator_4	N2	28	21	Chinese	3	10.0	False	True	6.0
replication_lcp_annotator_5	N2	24	18	中国語	3	15.0	False	True	2.0
replication_lcp_annotator_6	N2	26	19	中国語	2	1.0	True	True	2.0
replication_lcp_annotator_7	N1	28	16	中国語	2	7.0	False	True	3.0
replication_lcp_annotator_8	N2	32	26	中国語	4	1.0	False	True	4.0
replication_lcp_annotator_9	(2009以前) 1	30	20	Cantoness, Chinese	4	20.0	False	True	10.0
replication_lcp_annotator_10	N1	27	18	Chinese	2	20.0	True	True	5.0
