annotator	jlpt_level	age	education_years	native_languages	nonnative_languages	weekly_reading_hours	has_studied_japanese_at_university	lives_in_japan	lived_in_japan_years
replication_lcp_annotator_1	N2	21.0	15.0	Czech	2.0	4.0	True	False	0.0
replication_lcp_annotator_2	N2	21.0	14.0	English, Czech	3.0	5.0	True	False	0.7
replication_lcp_annotator_3	N2	23.0	16.0	チェコ語	3.0	1.0	True	False	1.0
replication_lcp_annotator_4	N1	23.0	17.0	チェコ語、ウクライナ語	3.0	2.0	True	False	0.8
replication_lcp_annotator_5	N1	24.0	18.0	Slovak	2.0	1.0	True	False	0.8
replication_lcp_annotator_6	N3	23.0	18.0	Czech	5.0	1.0	True	False	0.8
replication_lcp_annotator_7	N3	22.0	16.0	チェコ語	2.0	7.0	True	False	0.0
replication_lcp_annotator_8	N3	23.0	16.0	チェコ語	3.0	4.0	True	False	1.0
replication_lcp_annotator_9	N1	26.0	20.0	チェコ語	5.0	0.1	True	False	0.75
replication_lcp_annotator_10	N2	30.0	22.0	チェコ語	3.0	1.0	True	False	1.0
