id	replication_lcp_annotator_1	replication_lcp_annotator_2	replication_lcp_annotator_3	replication_lcp_annotator_4	replication_lcp_annotator_5	replication_lcp_annotator_6	replication_lcp_annotator_7	replication_lcp_annotator_8	replication_lcp_annotator_9	replication_lcp_annotator_10	replication_complexity
ja_1	2	2	3	3	3	1	2	4	3	3	0.4
ja_2	2	4	3	4	2	2	2	5	1	3	0.45
ja_3	3	3	4	5	4	5	4	4	2	4	0.7
ja_4	1	1	2	1	1	1	1	1	1	1	0.025
ja_5	1	4	2	4	1	3	3	4	1	3	0.4
ja_6	1	3	3	3	3	1	3	1	2	2	0.3
ja_7	1	1	2	1	1	1	2	1	1	1	0.05
ja_8	1	1	2	1	2	4	3	1	1	1	0.175
ja_9	1	1	2	1	1	1	3	2	1	1	0.1
ja_10	1	1	2	3	2	1	2	2	2	1	0.175
ja_11	1	1	2	2	1	1	2	1	1	1	0.075
ja_12	1	1	2	1	2	1	2	1	1	1	0.075
ja_13	1	1	1	1	1	2	1	3	1	1	0.075
ja_14	1	1	1	1	2	1	1	1	2	1	0.05
ja_15	1	4	2	3	4	1	4	4	2	1	0.4
ja_16	1	4	3	3	3	2	2	1	3	1	0.325
ja_17	1	1	1	2	2	1	2	3	1	1	0.125
ja_18	2	2	3	3	3	4	3	4	2	2	0.45
ja_19	2	4	4	4	3	4	4	5	2	2	0.6
ja_20	1	1	2	1	2	1	3	1	1	1	0.1
ja_21	1	1	2	3	2	5	3	5	3	2	0.425
ja_22	1	3	3	3	4	1	2	3	1	2	0.325
ja_23	1	1	2	2	2	1	2	2	1	1	0.125
ja_24	2	4	4	4	4	5	3	4	3	1	0.6
ja_25	1	1	3	4	2	1	2	4	2	1	0.275
ja_26	1	1	1	3	2	1	2	5	2	1	0.225
ja_27	1	1	1	2	2	2	3	3	1	1	0.175
ja_28	2	3	4	5	2	5	3	4	3	4	0.625
ja_29	2	5	4	4	4	5	4	5	4	4	0.775
ja_30	1	3	2	3	2	4	3	1	3	4	0.4
