id	replication_lcp_annotator_1	replication_lcp_annotator_2	replication_lcp_annotator_3	replication_lcp_annotator_4	replication_lcp_annotator_5	replication_lcp_annotator_6	replication_lcp_annotator_7	replication_lcp_annotator_8	replication_lcp_annotator_9	replication_lcp_annotator_10	replication_complexity
ja_1	2	2	3	3	3	2	2	2	3	1	0.325
ja_2	3	4	4	4	4	4	4	4	4	3	0.7
ja_3	5	5	3	2	2	5	5	4	2	5	0.7
ja_4	1	4	1	1	1	1	4	1	1	1	0.15
ja_5	3	3	4	2	4	2	3	1	3	1	0.4
ja_6	2	3	2	3	5	1	2	3	2	2	0.375
ja_7	2	1	4	1	4	3	3	2	1	2	0.325
ja_8	1	1	1	1	1	2	1	1	3	1	0.075
ja_9	1	5	2	2	1	5	5	3	1	4	0.475
ja_10	1	2	1	1	1	1	1	1	1	1	0.025
ja_11	1	1	1	1	1	1	1	1	1	1	0.0
ja_12	2	2	1	1	1	1	1	1	1	1	0.05
ja_13	3	4	1	1	2	1	3	1	1	1	0.2
ja_14	3	5	1	1	1	1	4	1	3	1	0.275
ja_15	2	3	3	3	1	2	2	1	1	4	0.3
ja_16	2	3	4	3	3	2	2	1	1	1	0.3
ja_17	4	5	4	3	4	2	3	2	3	1	0.525
ja_18	4	3	4	3	3	4	4	3	3	1	0.55
ja_19	4	5	4	2	2	3	5	4	1	2	0.55
ja_20	1	2	1	1	1	1	1	2	1	1	0.05
ja_21	4	5	4	3	3	5	4	3	1	3	0.625
ja_22	2	2	3	2	3	2	2	2	2	1	0.275
ja_23	3	3	3	2	1	3	3	2	2	1	0.325
ja_24	3	5	4	4	5	3	4	2	4	4	0.7
ja_25	1	1	1	1	1	1	2	1	2	1	0.05
ja_26	3	3	2	2	2	2	5	4	1	3	0.425
ja_27	3	4	1	2	2	2	4	2	1	2	0.325
ja_28	4	5	4	3	4	4	4	2	5	4	0.725
ja_29	3	5	5	4	5	3	5	5	5	4	0.85
ja_30	1	1	1	1	2	2	4	1	4	2	0.225
